№;Имя файла;Текст вопроса;Текст ответа
1;Беспл001;Сколько раз встречается зеленый цвет на утке;1
2;Беспл002;Сколько цветов изображено на картинке;6
3;Беспл003;Сколько змей изображено на картинке;1
4;Беспл004;Сколько синиц изображено на картинке;1
5;Беспл005;Сколько червяков изображено на картинке;0
6;Беспл006;Сколько листиков изображено на картинке;4
7;Беспл007;Сколько тигров изображено на картинке;2
8;Беспл008;Сколько животных изображено на картинке;6
9;Беспл009;Сколько чаек изображено на картинке;1
10;Беспл010;Сколько грызунов изображено на картинке;1
11;Беспл011;Сколько усиков у муравья;2
12;Беспл012;Сколько лилий изображено на картинке;1
13;Беспл013;Сколько голубей изображено на картинке;4
14;Беспл014;Сколько попугаев изображено на картинке;2
15;Беспл015;Сколько утят изображено на картинке;3
16;Беспл016;Сколько животных изображено на картинке;3
17;Беспл017;Сколько пятен на шее жирафа видно на картинке;12
18;Беспл018;Сколько лапок у мухи изображено на картинке;6
19;Беспл019;Сколько уток изображено на картинке;1
20;Беспл020;Сколько лап изображено на картинке;1
21;Беспл021;Сколько велосипедистов изображено на картинке;1
22;Беспл022;Сколько кондиционеров на фасаде здания;0
23;Беспл023;Сколько дверей изображено на картинке;2
24;Беспл024;Сколько спутниковых антенн изображено на картинке;2
25;Беспл025;Сколько лавок изображено на картинке;0
26;Беспл026;Сколько подоконников с цветочными горшками изображено на картинке;2
27;Беспл027;Сколько разноцветных домов изображено на картинке;4
28;Беспл028;Сколько автобусов изображено на картинке;2
29;Беспл029;Сколько фонарей изображено на картинке;2
30;Беспл030;Сколько машин полиции с мигалкой изображено на картинке;6
;;;
;;;
;;;
;;;
;Природа001;Сколько разделений на гребне петуха изображено на картинке;5
;Природа002;Сколько рельефов на крыше изображено на картинке;5
;Природа003;Сколько полосок на крыле бабочки изображено на картинке;8
;Природа004;Сколько птиц на зебре изображено на картинке;4
;Природа005;Сколько подушечек на задних лапах тигра видно на картинке;6
;Природа006;Сколько панд изображено на картинке;1
;Природа007;Сколько цветов изображено на картинке;0
;Природа008;Сколько сучков на ветке изображено;1
;Природа009;Сколько зубов у белки видно на картинке;0
;Природа010;Сколько веток ест белка;0
;Природа011;Сколько оборотов на ракушке изображено на картинке;4
;Природа012;Сколько рогов на улитке изображено на картинке;2
;Природо013;Сколько дырочек на ракушке изображено на картинке;5
;Природа014;Сколько шимпанзе изображено на картинке;0
;Природа015;Сколько поваленных деревьев на картинке;2
;Природа016;Сколько рыб изображено на картинке;0
;Природа017;Сколько теней от птиц видно на картинке;2
;Природа018;Сколько раз встречается красный цвет на картинке;0
;Природа019;Сколько пар глаз изображено на картинке;0
;Природа020;Сколько веток изображено на картинке;2
;Природа021;Сколько клыков изображено на картинке;2
;Природа022;Сколько жеребят изображено на картинке;1
;Природа023;Сколько цветов в окрасе гориллы;2
;Природа024;Сколько лапок у стрекозы на картинке;6
;Природа025;Сколько соцветий изображено на картинке;3
;Природа026;Сколько нераспустившихся цветов изображено на картинке;1
;Природа027;Сколько лепестков у цветка изображено на картинке;6
;Природа028;Сколько кроликов изображено на картинке;8
;Природа029;Сколько раз на картинке встречается фиолетовый цвет;0
;Природа030;Сколько веток изображено на картинке;1
;Природа031;Сколько пчел изображено на картинке;1
;Природа032;Сколько крылышек у пчелы изображено на картинке;2
;Природа033;Сколько голубей изображено на картинке;4
;Природа034;Сколько хвостов изображено на картинке;2
;Природа035;Сколько птиц изображено на картинке;3
;Природа036;Сколько цветов на хвосте хамелеона ближе к концу;2
;Природа037;Сколько пауков изображено на картинке;0
;Природа038;Сколько кустов изображено на картинке;0
;Природа039;Сколько ошейников на собаках изображено на картинке;3
;Природа040;Сколько камней в водоеме изображено на картинке;1
